Name,Calories,Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Allergy: dairy?,Allergy: eggs?,Allergy: gluten?,Allergy: soy?,Allergy: wheat?,Allergy: sesame?,Allergy: fish?,Vegetarian?,Vegan?,Time of day,Kind of product?,Dining hall
Goody's Egg Breakfast Bowl,691,49,375,1162,38,2,4,20,yes,yes,yes,yes,yes,no,no,yes,no,morning,dish,Goody's Marketplace
Goody's Chicken Breakfast Bowl,1007,58,463,2303,61,4,5,54,yes,yes,yes,yes,yes,no,no,no,no,morning,dish,Goody's Marketplace
Egg Biscuit Breakfast Sandwich,382,22,250,956,28,1,2,14,yes,yes,yes,yes,yes,no,no,yes,no,morning,dish,Goody's Marketplace
Chicken Biscuit Breakfast Sandwich,616,32,362,1973,40,2,3,36,yes,yes,yes,yes,yes,no,no,no,no,morning,dish,Goody's Marketplace
Egg Breakfast Burrito,930,56,388,1580,74,3,4,30,yes,yes,yes,yes,yes,no,no,yes,no,morning,dish,Goody's Marketplace
Chicken Breakfast Burrito,1141,62,446,2341,89,5,5,53,yes,yes,yes,yes,yes,no,no,no,no,morning,dish,Goody's Marketplace
Goody's Bacon Breakfast Burrito,867,43,371,1770,84,9,3,41,yes,yes,yes,yes,yes,no,no,no,no,morning,dish,Goody's Marketplace
Potato Wedges,320,16,?,729,37,2,?,4,no,no,yes,yes,yes,no,no,yes,yes,morning,side,Goody's Marketplace
Damn! Spicy Chicken Sandwich,668,26,142,2548,77,4,11,32,yes,yes,yes,no,yes,no,no,no,no,afternoon,dish,Goody's Marketplace
Grilled Chicken Sandwich,433,10,70,947,51,3,9,35,no,no,yes,yes,yes,yes,no,no,no,afternoon,dish,Goody's Marketplace
Goody's Chicken Sandwich,453,11,1,1489,58,2,8,32,yes,yes,yes,yes,yes,no,no,no,no,afternoon,dish,Goody's Marketplace
Plant-Based Damn! Spicy Chicken Sandwich,559,30,?,1447,68,3,8,14,no,no,yes,yes,yes,no,no,no,no,afternoon,dish,Goody's Marketplace
Plant-Based Chickn Sandwich,435,17,?,881,65,3,6,14,no,no,yes,yes,yes,no,no,yes,yes,afternoon,dish,Goody's Marketplace
Damn! Spicy Chicken Tenders,508,24,99,2399,35,4,7,39,yes,no,yes,no,yes,no,no,no,no,afternoon,dish,Goody's Marketplace
Goody's Chicken Tenders,422,12,117,1700,31,3,1,46,yes,no,yes,no,yes,no,no,no,no,afternoon,dish,Goody's Marketplace
Grilled Chicken Tenders,474,29,70,966,27,2,1,25,no,no,no,no,no,no,no,no,no,afternoon,dish,Goody's Marketplace
Cappuccino,89,4,14,86,9,?,9,6,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Latte,133,5,21,128,13,?,13,9,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Mocha,270,5,19,191,47,?,39,8,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
White Mocha,194,5,19,162,28,?,16,9,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Caramel Macchiato,252,5,20,208,43,?,37,8,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
London Fog,151,4,14,88,24,?,23,6,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Green Tea Latte,188,5,19,115,28,2,26,9,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Chai Latte,158,5,19,120,21,?,21,8,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Hot Chocolate,270,5,19,188,47,?,39,8,no,no,no,no,no,no,no,yes,yes,all day,beverage,Counter Culture
White Hot Chocolate,253,7,29,215,34,?,32,12,yes,no,no,no,no,no,no,yes,no,all day,beverage,Counter Culture
Vietnamese Iced Coffee,360,24,79,130,29,?,22,9,yes,no,no,no,no,no,no,no,no,all day,caffeinated beverage,Counter Culture
Sunrise Red Bull Infusion,280,?,?,204,68,?,64,1,no,no,no,no,no,no,no,yes,yes,all day,caffeinated beverage,Counter Culture
Sweet Tart Red Bull Infusion,394,12,61,265,60,?,53,5,yes,no,no,no,no,no,no,yes,no,all day,caffeinated beverage,Counter Culture
Plain Bagel,350,2,?,550,70,2,3,13,no,no,yes,yes,yes,no,no,yes,yes,morning,dish,Counter Culture
Everything Bagel,410,2,?,1510,70,2,3,13,no,no,yes,yes,yes,yes,no,yes,yes,morning,dish,Counter Culture
Cinnamon Raisin Bagel,350,2,?,500,72,2,11,12,no,no,yes,yes,yes,no,no,yes,yes,morning,dish,Counter Culture
Jalapeño Cheese Bagel,440,11,?,1030,65,3,3,18,yes,no,yes,yes,yes,no,no,yes,no,morning,dish,Counter Culture
Gluten-Free Bagel,410,6,?,940,87,8,6,9,no,no,no,no,no,yes,no,yes,yes,morning,dish,Counter Culture
Continental Breakfast Bagel,717,34,219,1022,82,2,26,26,yes,yes,yes,yes,yes,no,no,no,no,morning,dish,Counter Culture
Breakfast BLT Bagel,716,27,176,2170,79,3,5,26,yes,yes,yes,yes,yes,yes,no,no,no,morning,dish,Counter Culture
Veggie Avocado Bagel,588,14,?,1658,80,7,4,20,no,no,yes,yes,yes,yes,no,yes,yes,morning,dish,Counter Culture
Smoked Salmon Bagel,656,19,62,2180,81,4,7,28,no,no,yes,no,yes,yes,yes,no,no,morning,dish,Counter Culture
Turkey Bacon Chipotle Bagel,676,22,96,1968,74,3,16,38,yes,no,yes,yes,yes,no,no,no,no,morning,dish,Counter Culture
Egg Cheese Croissant Sandwich,467,32,158,618,29,1,4,4,yes,yes,yes,yes,yes,no,no,yes,no,morning,dish,Counter Culture
Acai Bowl,476,9,?,82,95,9,53,7,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
Mango Power Bowl,433,5,?,46,93,9,58,7,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
Acai Smoothie,279,3,?,14,64,6,46,2,no,no,no,no,no,no,no,yes,yes,all day,beverage,Counter Culture
Pineapple Mango Smoothie,268,3,2,3,70,6,56,4,no,no,no,no,no,no,no,yes,yes,all day,beverage,Counter Culture
Green Boost Smoothie,328,6,2,55,76,8,54,5,no,no,no,no,no,no,no,yes,yes,all day,beverage,Counter Culture
Chocolate Banana Protein Shake,306,8,?,243,46,7,22,15,no,no,yes,no,no,no,no,yes,yes,all day,beverage,Counter Culture
Croissant,310,14,50,310,40,2,8,7,yes,yes,yes,no,yes,no,no,yes,no,all day,side,Counter Culture
Chocolate Croissant,410,19,60,350,54,3,16,8,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
Blueberry Muffin,650,33,?,560,81,1,48,7,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
Chocolate Chip Muffin,450,24,?,370,55,2,35,6,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
Cheese Danish,320,16,35,420,38,1,9,7,yes,yes,yes,no,yes,no,no,yes,no,all day,side,Counter Culture
Raspberry Danish,270,11,15,330,37,1,12,5,yes,yes,yes,no,yes,no,no,yes,no,all day,side,Counter Culture
Apple,72,?,?,1,20,4,14,?,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
